frame,x,y,heading,speed,reward
118,224.1396,-31.2868,0.0181,56.9783,0.99
119,226.9962,-31.2844,0.0008,57.131,0.99
120,229.8595,-31.2327,0.018,57.2749,0.99
121,232.7305,-31.2303,0.0009,57.4209,1.99
122,235.608,-31.1785,0.018,57.5596,0.99
123,238.493,-31.1758,0.0009,57.6994,0.99
124,241.3841,-31.1239,0.018,57.8327,0.99
125,244.2825,-31.1212,0.001,57.9663,0.99
126,247.1867,-31.0692,0.0179,58.0944,0.99
127,250.0971,-30.9959,0.0252,58.2256,0.99
128,253.0147,-30.9717,0.0083,58.3552,0.99
129,255.9376,-30.8982,0.0251,58.4764,0.99
130,258.8675,-30.8738,0.0083,58.6,1.99
131,261.8026,-30.8001,0.0251,58.7193,0.99
132,264.7432,-30.7052,0.0323,58.8435,0.99
133,267.6934,-30.6594,0.0155,59.01,0.99
134,270.6489,-30.5642,0.0322,59.1415,0.99
135,273.6098,-30.4195,0.0488,59.2886,0.99
136,276.5806,-30.3237,0.0322,59.4469,0.99
137,279.5557,-30.1785,0.0488,59.5719,0.99
138,282.5344,-29.9838,0.0653,59.7014,1.99
139,285.5161,-29.7395,0.0817,59.8345,0.99
140,288.5001,-29.4456,0.0982,59.9692,0.99
141,291.4805,-29.1027,0.1145,60.0,0.99
142,294.4548,-28.7111,0.1309,60.0,0.99
143,297.4223,-28.271,0.1472,60.0,0.99
144,300.3823,-27.7824,0.1636,60.0,0.99
145,303.3337,-27.2455,0.1799,59.9968,0.99
146,306.2739,-26.6609,0.1963,59.9563,1.99
147,309.197,-26.0299,0.2126,59.8081,0.99
148,312.0639,-25.3624,0.2288,58.8711,0.99
149,314.8732,-24.6596,0.2451,57.917,0.99
150,317.6238,-23.9225,0.2618,56.9537,1.99
151,320.3152,-23.1523,0.2787,55.9882,-0.01
152,322.9467,-22.3499,0.296,55.0234,0.99
153,325.5182,-21.5164,0.3135,54.0638,0.99
154,328.0295,-20.6525,0.3313,53.1141,0.99
155,330.4816,-19.759,0.3494,52.1965,0.99
156,332.8777,-18.8353,0.3679,51.3592,-0.01
157,335.2573,-17.9691,0.3491,50.6479,0.99
158,337.6236,-17.1587,0.33,50.0238,-0.01
159,339.9746,-16.404,0.3106,49.3839,0.99
160,342.3064,-15.7055,0.291,48.6834,-10.0
