frame,x,y,heading,speed_kmh,steer,accel,reward,termination
84,132.6861,-32.152,0.0195,178.25,0.1128,0.6921,0.99,
85,135.177,-32.1532,6.2827,179.34,-0.1069,0.6795,-0.01,
86,137.6825,-32.1048,0.0193,180.43,0.1051,0.6807,0.99,
87,140.2031,-32.1057,6.2828,181.48,-0.1066,0.6665,0.99,
88,142.7377,-32.0569,0.0192,182.53,0.0947,0.6672,0.99,
89,145.2867,-32.0575,6.2829,183.53,-0.1077,0.6536,0.99,
90,147.8491,-32.0086,0.0191,184.53,0.0838,0.6537,0.99,
91,150.4253,-32.0089,6.2831,185.49,-0.1101,0.6418,0.99,
92,153.0143,-31.9597,0.019,186.44,0.0727,0.6401,0.99,
93,155.6165,-31.9597,6.2832,187.36,-0.1127,0.6309,0.99,
94,158.2309,-31.9103,0.0189,188.27,0.0631,0.6273,0.99,
95,160.8581,-31.9101,0.0001,189.15,-0.1158,0.6205,0.99,
96,163.4968,-31.8604,0.0188,190.02,0.0543,0.6147,0.99,
97,166.1477,-31.86,0.0002,190.87,-0.1191,0.6105,0.99,
98,168.8097,-31.8101,0.0187,191.69,0.0479,0.6037,0.99,
99,171.4834,-31.8095,0.0002,192.51,-0.1223,0.6008,0.99,
100,174.1677,-31.7594,0.0187,193.3,0.0438,0.5942,0.99,
101,176.8632,-31.7586,0.0003,194.08,-0.125,0.5914,0.99,
102,179.5689,-31.7083,0.0186,194.84,0.0401,0.5852,0.99,
103,182.2854,-31.7073,0.0004,195.59,-0.1268,0.5828,0.99,
104,185.0116,-31.6568,0.0185,196.32,0.0374,0.5763,0.99,
105,187.7482,-31.6555,0.0005,197.04,-0.1279,0.5749,0.99,
106,190.4941,-31.6049,0.0184,197.73,0.0359,0.5678,1.99,
107,193.25,-31.6035,0.0005,198.43,-0.1281,0.5677,0.99,
108,196.0147,-31.5527,0.0184,199.09,0.0358,0.5595,0.99,
109,198.7892,-31.5511,0.0006,199.76,-0.1264,0.5608,0.99,
110,201.5721,-31.5001,0.0183,200.4,0.0374,0.5515,0.99,
111,204.3643,-31.4983,0.0006,201.04,-0.1225,0.5548,0.99,
112,207.1646,-31.4472,0.0183,201.65,0.0411,0.5436,0.99,
113,209.974,-31.4453,0.0007,202.27,-0.1167,0.5486,0.99,
114,212.791,-31.394,0.0182,202.86,0.0469,0.5361,0.99,
115,215.6167,-31.3919,0.0007,203.45,-0.1084,0.5422,0.99,
116,218.4497,-31.3405,0.0181,204.01,0.0542,0.5296,0.99,
117,221.2912,-31.3383,0.0008,204.58,-0.0974,0.5357,0.99,
118,224.1396,-31.2868,0.0181,205.12,0.0641,0.524,0.99,
119,226.9962,-31.2844,0.0008,205.67,-0.0845,0.5296,0.99,
120,229.8595,-31.2327,0.018,206.19,0.0773,0.5191,0.99,
